# thread	start	end	type	task id
5	609293899094036094	609293899110338244	1	61
6	609293899164576915	609293899183580856	1	62
7	609293899254895713	609293899268247663	1	63
0	609293899233610020	609293899247993937	1	64
0	609293901928637865	609293901932470365	1	65
2	609293899516208013	609293899534028283	1	66
3	609293899796079159	609293899810877598	1	67
4	609293899867489368	609293899874214789	1	68
5	609293899783413117	609293899798843977	1	69
6	609293899875948813	609293899884749223	1	70
7	609293899936606059	609293899943898948	1	71
0	609293899588928634	609293899617919407	1	72
6	609293901932063613	609293901937077660	1	73
2	609293900110665798	609293900118365598	1	74
3	609293900264641227	609293900272446729	1	75
4	609293900319556461	609293900326076154	1	76
5	609293900337405042	609293900344460412	1	77
6	609293900406755214	609293900413954548	1	78
7	609293900435650317	609293900441213832	1	79
0	609293899949067618	609293899959493518	1	80
1	609293901933682884	609293901939467280	1	81
2	609293900674973016	609293900685382140	1	82
0	609293900696171442	609293900707140576	1	83
4	609293900925469662	609293900933186877	1	84
0	609293900433228543	609293900441053461	1	85
0	609293901058164534	609293901069220224	1	86
5	609293901024045825	609293901034283625	1	87
0	609293900161862469	609293900172118863	1	88
3	609293901951909042	609293901962065914	1	89
6	609293901111773436	609293901120230976	1	90
3	609293900849809347	609293900850048966	2	91
3	609293900850054264	609293901660333486	3	92
1	609293899935733641	609293899936387206	4	93
2	609293897852119191	609293897863587378	4	94
3	609293897852598891	609293897867260296	4	95
4	609293897850967992	609293897869776417	4	96
5	609293897849977416	609293897869801275	4	97
6	609293897853105879	609293897874256806	4	98
7	609293897850073140	609293897873106651	4	99
0	609293897874709623	609293897889037668	4	100
2	609293901904554285	609293901909924075	4	101
2	609293897864998308	609293897887683366	4	102
3	609293897870594175	609293897896390623	4	103
4	609293897872265061	609293897900950095	4	104
5	609293897873923374	609293897901199566	4	105
6	609293897875931985	609293897904589227	4	106
7	609293897875783611	609293897905087368	4	107
0	609293897890956594	609293897925143256	4	108
7	609293901906354786	609293901923322348	4	109
2	609293897893361016	609293897934121818	4	110
3	609293897900508528	609293897959813605	4	111
4	609293897905086171	609293897966210868	4	112
5	609293897905137192	609293897961427143	4	113
6	609293897907205806	609293897968915179	4	114
7	609293897910862668	609293897978063220	4	115
0	609293897929714932	609293898005109219	4	116
3	609293901908348790	609293901945415371	4	117
2	609293897937681579	609293898024238953	4	118
3	609293897963856657	609293898085464648	4	119
4	609293897970103242	609293898090863388	4	120
5	609293897969223627	609293898077696541	4	121
6	609293897976342420	609293898093215052	4	122
7	609293897984158686	609293898108345456	4	123
0	609293898009555039	609293898146118735	4	124
2	609293901914140803	609293901985451055	4	125
2	609293898029366550	609293898182242989	4	126
3	609293898093125655	609293898311931693	4	127
4	609293898096420744	609293898309958218	4	128
5	609293898085354632	609293898273875058	4	129
6	609293898100771452	609293898300967794	4	130
7	609293898118419471	609293898328780755	4	131
0	609293898152175015	609293898381119346	4	132
5	609293901918347091	609293902042406472	4	133
2	609293898188738073	609293898441749799	4	134
3	609293898321792435	609293898650067345	4	135
4	609293898317199123	609293898646067673	4	136
5	609293898288459576	609293898596338272	4	137
6	609293898313099092	609293898640339263	4	138
7	609293898339050502	609293898697504833	4	139
0	609293898394025166	609293898805775436	4	140
4	609293901929212320	609293902097025627	4	141
2	609293898452902995	609293898887229900	4	142
3	609293898661202325	609293899138324671	4	143
4	609293898657382032	609293899147276377	4	144
5	609293898608614299	609293899093881042	4	145
6	609293898658533276	609293899164465909	4	146
7	609293898713339010	609293899254768111	4	147
0	609293898822326967	609293899233537912	4	148
7	609293901928496352	609293902156188741	4	149
2	609293898910957833	609293899516062501	4	150
3	609293899148799276	609293899795971015	4	151
4	609293899161736506	609293899867412244	4	152
5	609293899111879647	609293899783268775	4	153
6	609293899185034815	609293899875863844	4	154
7	609293899269732600	609293899936549248	4	155
0	609293899249286148	609293899588847634	4	156
0	609293901933081255	609293902066313121	4	157
2	609293899535541966	609293900110587333	4	158
3	609293899812383235	609293900264566872	4	159
4	609293899875007671	609293900319476361	4	160
5	609293899800449190	609293900337310056	4	161
6	609293899885621500	609293900406687057	4	162
7	609293899944643755	609293900435570400	4	163
0	609293899619309115	609293899949021583	4	164
6	609293901960856587	609293902368348375	4	165
2	609293900119214397	609293900674892073	4	166
3	609293900273311542	609293900849740338	4	167
4	609293900326964247	609293900925400569	4	168
5	609293900345480199	609293901023950620	4	169
6	609293900414863041	609293901106643541	4	170
7	609293900442109623	609293901096750630	4	171
0	609293899960440849	609293900161818603	4	172
1	609293901940104057	609293902150258254	4	173
2	609293900686298742	609293901347317896	4	174
0	609293900707874931	609293900971622013	4	175
4	609293900934055533	609293901601788972	4	176
0	609293900441767236	609293900696124108	4	177
0	609293901070114806	609293901335845167	4	178
5	609293901035346048	609293901292870965	4	179
0	609293900172819624	609293900433183267	4	180
3	609293901962959782	609293902193828619	4	181
6	609293901121300869	609293901397892139	4	182
1	609293897848513314	609293897849307204	5	183
2	609293897849734812	609293897851739364	5	184
3	609293897849885202	609293897852120829	5	185
4	609293897849841426	609293897850593511	5	186
5	609293897849395188	609293897849496114	5	187
6	609293897849546343	609293897852706342	5	188
7	609293897849538297	609293897849601873	5	189
0	609293897874164844	609293897874227628	5	190
2	609293901903820146	609293901903837714	5	191
2	609293897864499933	609293897864534169	5	192
3	609293897870042574	609293897870091768	5	193
4	609293897871703110	609293897871735591	5	194
5	609293897873360523	609293897873393850	5	195
6	609293897875391229	609293897875425141	5	196
7	609293897875222326	609293897875250253	5	197
0	609293897890363935	609293897890397433	5	198
7	609293901906197091	609293901906208917	5	199
2	609293897892665820	609293897892714591	5	200
3	609293897899655769	609293897899701849	5	201
4	609293897904193974	609293897904237390	5	202
5	609293897904301299	609293897904346398	5	203
6	609293897906493762	609293897906528340	5	204
7	609293897910109089	609293897910150309	5	205
0	609293897928941094	609293897928985032	5	206
3	609293901907970562	609293901907992501	5	207
2	609293897936810010	609293897936858646	5	208
3	609293897962973568	609293897963021646	5	209
4	609293897969189841	609293897969231502	5	210
5	609293897967779253	609293897968342338	5	211
6	609293897975463246	609293897975511378	5	212
7	609293897983247346	609293897983295244	5	213
0	609293898008621514	609293898008669691	5	214
2	609293901913660563	609293901913683768	5	215
2	609293898028322046	609293898028376613	5	216
3	609293898092038104	609293898092102652	5	217
4	609293898095364963	609293898095421618	5	218
5	609293898084253455	609293898084325932	5	219
6	609293898099732285	609293898099778707	5	220
7	609293898117386964	609293898117433035	5	221
0	609293898151101945	609293898151160688	5	222
5	609293901917677314	609293901917728131	5	223
2	609293898187495191	609293898187547697	5	224
3	609293898320552730	609293898320631012	5	225
4	609293898315956781	609293898316032192	5	226
5	609293898287228376	609293898287303184	5	227
6	609293898311991462	609293898312049548	5	228
7	609293898337811112	609293898337879206	5	229
0	609293898392763096	609293898392838471	5	230
4	609293901928957983	609293901928985463	5	231
2	609293898451579914	609293898451669761	5	232
3	609293898659956041	609293898660041163	5	233
4	609293898656160426	609293898656242101	5	234
5	609293898607248945	609293898607349682	5	235
6	609293898656621289	609293898657302085	5	236
7	609293898711983187	609293898712063935	5	237
0	609293898820964592	609293898821056140	5	238
7	609293901927837432	609293901927869673	5	239
2	609293898909516861	609293898909605880	5	240
3	609293899147512195	609293899147610520	5	241
4	609293899160333424	609293899160432928	5	242
5	609293899110427236	609293899110528675	5	243
6	609293899183658094	609293899183735143	5	244
7	609293899268305704	609293899268397270	5	245
0	609293899248079869	609293899248147666	5	246
0	609293901932512935	609293901932543268	5	247
2	609293899534112343	609293899534207878	5	248
3	609293899810965420	609293899811062044	5	249
4	609293899874282406	609293899874331198	5	250
5	609293899798936857	609293899799045757	5	251
6	609293899884787632	609293899884844725	5	252
7	609293899943944197	609293899943991447	5	253
0	609293899617979635	609293899618069689	5	254
6	609293901960343830	609293901960383172	5	255
2	609293900118429039	609293900118479094	5	256
3	609293900272499247	609293900272546614	5	257
4	609293900326131831	609293900326201593	5	258
5	609293900344525494	609293900344588932	5	259
6	609293900413992666	609293900414040396	5	260
7	609293900441280675	609293900441337822	5	261
0	609293899959554973	609293899959598713	5	262
1	609293901939494181	609293901939529368	5	263
2	609293900685438618	609293900685487551	5	264
0	609293900707184709	609293900707244499	5	265
4	609293900933242710	609293900933301549	5	266
0	609293900441092221	609293900441138565	5	267
0	609293901069258177	609293901069303795	5	268
5	609293901034348941	609293901034420809	5	269
0	609293900172154839	609293900172207102	5	270
3	609293901962114178	609293901962167815	5	271
6	609293901120290379	609293901120352905	5	272
1	609293897849851713	609293897849866428	5	273
2	609293897851972860	609293897851994892	5	274
3	609293897852439726	609293897852455908	5	275
4	609293897850837960	609293897850853440	5	276
5	609293897849798505	609293897849816937	5	277
6	609293897852931414	609293897852943042	5	278
7	609293897849902023	609293897849922795	5	279
0	609293897874484776	609293897874497484	5	280
2	609293901904240239	609293901904249527	5	281
2	609293897864843670	609293897864862183	5	282
3	609293897870417298	609293897870433165	5	283
4	609293897872077591	609293897872097058	5	284
5	609293897873753697	609293897873781219	5	285
6	609293897875748520	609293897875771425	5	286
7	609293897875565541	609293897875592568	5	287
0	609293897890755822	609293897890786512	5	288
7	609293901906182859	609293901906193920	5	289
2	609293897893115154	609293897893150371	5	290
3	609293897900202627	609293897900232660	5	291
4	609293897904301101	609293897904341700	5	292
5	609293897904391641	609293897904438090	5	293
6	609293897906561559	609293897906590782	5	294
7	609293897910190827	609293897910221517	5	295
0	609293897929026009	609293897929067706	5	296
3	609293901908333790	609293901908346444	5	297
2	609293897936920800	609293897936954865	5	298
3	609293897963083197	609293897963109423	5	299
4	609293897969236416	609293897969286276	5	300
5	609293897968348917	609293897968396095	5	301
6	609293897975517669	609293897975554983	5	302
7	609293897983301571	609293897983352142	5	303
0	609293898008679006	609293898008720478	5	304
2	609293901914115924	609293901914133486	5	305
2	609293898028384569	609293898028434915	5	306
3	609293898092115405	609293898092167146	5	307
4	609293898095485473	609293898095537295	5	308
5	609293898084395826	609293898084443283	5	309
6	609293898099836415	609293898099888948	5	310
7	609293898117494739	609293898117550494	5	311
0	609293898151218963	609293898151260246	5	312
5	609293901918314544	609293901918343641	5	313
2	609293898187630911	609293898187672698	5	314
3	609293898320684589	609293898320744214	5	315
4	609293898316037988	609293898316081260	5	316
5	609293898287316765	609293898287378244	5	317
6	609293898312061896	609293898312111387	5	318
7	609293898337893030	609293898337943493	5	319
0	609293898392842998	609293898392905584	5	320
6	609293901929138091	609293901929165190	5	321
2	609293898451677591	609293898451736757	5	322
3	609293898660047850	609293898660107835	5	323
4	609293898657190197	609293898657242010	5	324
5	609293898608432328	609293898608487732	5	325
6	609293898658329417	609293898658389942	5	326
7	609293898713129292	609293898713184651	5	327
0	609293898822133953	609293898822194631	5	328
7	609293901928460580	609293901928485240	5	329
2	609293898910722699	609293898910781145	5	330
3	609293899148611239	609293899148660613	5	331
4	609293899161537399	609293899161590598	5	332
5	609293899111667238	609293899111730085	5	333
6	609293899184836374	609293899184906610	5	334
7	609293899269513117	609293899269580869	5	335
0	609293899249121682	609293899249175196	5	336
0	609293901933055629	609293901933079095	5	337
2	609293899535350230	609293899535402313	5	338
3	609293899812187035	609293899812249702	5	339
4	609293899874447733	609293899874481177	5	340
5	609293899799265447	609293899799334351	5	341
6	609293899884975009	609293899885008384	5	342
7	609293899944099297	609293899944134595	5	343
0	609293899618291260	609293899618335936	5	344
6	609293901960555696	609293901960597648	5	345
2	609293900118610521	609293900118650397	5	346
3	609293900272664421	609293900272725123	5	347
4	609293900326458540	609293900326495641	5	348
5	609293900344872228	609293900344911480	5	349
6	609293900414297445	609293900414336091	5	350
7	609293900441596698	609293900441632995	5	351
0	609293899959786459	609293899959811419	5	352
1	609293901939718491	609293901939741396	5	353
2	609293900685730755	609293900685772299	5	354
0	609293900707841142	609293900707873431	5	355
4	609293900934013191	609293900934053784	5	356
0	609293900441738430	609293900441765955	5	357
0	609293901069894093	609293901070111194	5	358
5	609293901035290227	609293901035342790	5	359
0	609293900172784779	609293900172818310	5	360
3	609293901962925192	609293901962958177	5	361
6	609293901121249200	609293901121297350	5	362
1	609293897850101994	609293897850118230	5	363
2	609293897852055552	609293897852077926	5	364
3	609293897852527089	609293897852543073	5	365
4	609293897850930345	609293897850945744	5	366
5	609293897849928852	609293897849946402	5	367
6	609293897853059952	609293897853076899	5	368
7	609293897850024954	609293897850043503	5	369
0	609293897874663903	609293897874691965	5	370
2	609293901903883035	609293901903898182	5	371
2	609293897864954163	609293897864973324	5	372
3	609293897870526738	609293897870545242	5	373
4	609293897872102053	609293897872120278	5	374
5	609293897873784306	609293897873807454	5	375
6	609293897875776762	609293897875795140	5	376
7	609293897875595880	609293897875622385	5	377
0	609293897890788429	609293897890812270	5	378
7	609293901906170424	609293901906180768	5	379
2	609293897893152810	609293897893187901	5	380
3	609293897900236836	609293897900272782	5	381
4	609293897904801888	609293897904831804	5	382
5	609293897904862629	609293897904897495	5	383
6	609293897906939964	609293897907013458	5	384
7	609293897910611415	609293897910654057	5	385
0	609293897929449495	609293897929486584	5	386
3	609293901908096616	609293901908112435	5	387
2	609293897937383886	609293897937420057	5	388
3	609293897963554941	609293897963596827	5	389
4	609293897969661153	609293897969697234	5	390
5	609293897968774734	609293897968824333	5	391
6	609293897975918682	609293897975965446	5	392
7	609293897983711035	609293897983755909	5	393
0	609293898009088443	609293898009134163	5	394
2	609293901913842678	609293901913862490	5	395
2	609293898028853118	609293898028906209	5	396
3	609293898092599218	609293898092640888	5	397
4	609293898095962941	609293898096004485	5	398
5	609293898084873240	609293898084925485	5	399
6	609293898100313568	609293898100350981	5	400
7	609293898117963990	609293898118013436	5	401
0	609293898151692588	609293898151748784	5	402
5	609293901917891703	609293901917919420	5	403
2	609293898188227665	609293898188273151	5	404
3	609293898321256737	609293898321300585	5	405
4	609293898316164042	609293898316217502	5	406
5	609293898287433675	609293898287496099	5	407
6	609293898312169941	609293898312228153	5	408
7	609293898338007204	609293898338061726	5	409
0	609293898392967621	609293898393046443	5	410
6	609293901929002440	609293901929060160	5	411
2	609293898451800405	609293898451866843	5	412
3	609293898660168927	609293898660223818	5	413
4	609293898656309124	609293898656366823	5	414
5	609293898607429548	609293898607481640	5	415
6	609293898657399132	609293898657461043	5	416
7	609293898712120284	609293898712189719	5	417
0	609293898821130678	609293898821196468	5	418
7	609293901928075788	609293901928107027	5	419
2	609293898909690147	609293898909748800	5	420
3	609293899147680504	609293899147740849	5	421
4	609293899161601614	609293899161665370	5	422
5	609293899111733802	609293899111804686	5	423
6	609293899184910867	609293899184961528	5	424
7	609293899269584496	609293899269653643	5	425
0	609293899249178238	609293899249231662	5	426
0	609293901932681760	609293901932712105	5	427
2	609293899535413356	609293899535475411	5	428
3	609293899812257514	609293899812310911	5	429
4	609293899874971605	609293899875006210	5	430
5	609293899800371772	609293899800444231	5	431
6	609293899885576047	609293899885618476	5	432
7	609293899944607683	609293899944641901	5	433
0	609293899619253360	609293899619306658	5	434
6	609293901960214353	609293901960252492	5	435
2	609293900119173690	609293900119212318	5	436
3	609293900273278563	609293900273309787	5	437
4	609293900326886187	609293900326924350	5	438
5	609293900345387463	609293900345429340	5	439
6	609293900414770692	609293900414818872	5	440
7	609293900442030987	609293900442061656	5	441
0	609293899960374654	609293899960403892	5	442
1	609293901940046190	609293901940072680	5	443
2	609293900686223310	609293900686262256	5	444
0	609293900707399254	609293900707427544	5	445
4	609293900933491833	609293900933533545	5	446
0	609293900441297718	609293900441329002	5	447
0	609293901069477141	609293901069500694	5	448
5	609293901034663470	609293901034708707	5	449
0	609293900172368931	609293900172399288	5	450
3	609293901962380551	609293901962416041	5	451
6	609293901120608805	609293901120649803	5	452
1	609293897849352996	609293897849367513	5	453
2	609293897851749237	609293897851766382	5	454
3	609293897852141475	609293897852164101	5	455
4	609293897850911445	609293897850925602	5	456
5	609293897849904858	609293897849923083	5	457
6	609293897853040152	609293897853056046	5	458
7	609293897850002175	609293897850019320	5	459
0	609293897874647541	609293897874662274	5	460
2	609293901904096878	609293901904106682	5	461
2	609293897864932914	609293897864952633	5	462
3	609293897870501862	609293897870520195	5	463
4	609293897872231779	609293897872258041	5	464
5	609293897873900100	609293897873921754	5	465
6	609293897875903383	609293897875929897	5	466
7	609293897875750824	609293897875780569	5	467
0	609293897890927155	609293897890948242	5	468
7	609293901906154506	609293901906167454	5	469
2	609293897893315665	609293897893358730	5	470
3	609293897900453070	609293897900496486	5	471
4	609293897904844233	609293897904869568	5	472
5	609293897904903903	609293897904944358	5	473
6	609293897907016167	609293897907053913	5	474
7	609293897910657351	609293897910688347	5	475
0	609293897929492119	609293897929521810	5	476
3	609293901908299635	609293901908314311	5	477
2	609293897937423162	609293897937459738	5	478
3	609293897963600157	609293897963628435	5	479
4	609293897969787162	609293897969837643	5	480
5	609293897968911426	609293897968950072	5	481
6	609293897976051567	609293897976088638	5	482
7	609293897983852515	609293897983892079	5	483
0	609293898009229194	609293898009274563	5	484
2	609293901914077014	609293901914096526	5	485
2	609293898029023515	609293898029062980	5	486
3	609293898092750256	609293898092801142	5	487
4	609293898096112485	609293898096152598	5	488
5	609293898085043952	609293898085104135	5	489
6	609293898100458414	609293898100511730	5	490
7	609293898118120734	609293898118158570	5	491
0	609293898151865613	609293898151901433	5	492
5	609293901918248094	609293901918279990	5	493
2	609293898188389431	609293898188452161	5	494
3	609293898321437304	609293898321491655	5	495
4	609293898316648359	609293898316707201	5	496
5	609293898287930547	609293898287986536	5	497
6	609293898312619140	609293898312671430	5	498
7	609293898338485653	609293898338535684	5	499
0	609293898393488028	609293898393539733	5	500
6	609293901929172834	609293901929230131	5	501
2	609293898452329137	609293898452400714	5	502
3	609293898660648573	609293898660706299	5	503
4	609293898656543610	609293898656597763	5	504
5	609293898607695696	609293898607761495	5	505
6	609293898657644436	609293898657708417	5	506
7	609293898712387710	609293898712447695	5	507
0	609293898821396781	609293898821461554	5	508
7	609293901928390491	609293901928412193	5	509
2	609293898909962343	609293898910034388	5	510
3	609293899147927320	609293899147985154	5	511
4	609293899160439309	609293899160501301	5	512
5	609293899110540942	609293899110609747	5	513
6	609293899183739553	609293899183805424	5	514
7	609293899268402769	609293899268474058	5	515
0	609293899248158340	609293899248213510	5	516
0	609293901932996934	609293901933024339	5	517
2	609293899534214124	609293899534289859	5	518
3	609293899811068038	609293899811142306	5	519
4	609293899874906688	609293899874935713	5	520
5	609293899800234171	609293899800306252	5	521
6	609293899885488963	609293899885528287	5	522
7	609293899944534201	609293899944568257	5	523
0	609293899619119449	609293899619179911	5	524
6	609293901960467331	609293901960507201	5	525
2	609293900119099221	609293900119130205	5	526
3	609293900273206305	609293900273236371	5	527
4	609293900326926228	609293900326962426	5	528
5	609293900345433330	609293900345477571	5	529
6	609293900414821143	609293900414860143	5	530
7	609293900442064560	609293900442104781	5	531
0	609293899960407597	609293899960438416	5	532
1	609293901940074051	609293901940102062	5	533
2	609293900686264488	609293900686296129	5	534
0	609293900707770303	609293900707805532	5	535
4	609293900933919435	609293900933951172	5	536
0	609293900441665224	609293900441697360	5	537
0	609293901069831216	609293901069857535	5	538
5	609293901035192871	609293901035240256	5	539
0	609293900172723456	609293900172753162	5	540
3	609293901962830407	609293901962876751	5	541
6	609293901121148178	609293901121193844	5	542
1	609293897849401164	609293897849437596	5	543
2	609293897851792734	609293897851808916	5	544
3	609293897852193162	609293897852206770	5	545
4	609293897850663360	609293897850677670	5	546
5	609293897849568114	609293897849604618	5	547
6	609293897852773563	609293897852788530	5	548
7	609293897849682081	609293897849697840	5	549
0	609293897874326412	609293897874344340	5	550
2	609293901904291350	609293901904301235	5	551
2	609293897864608878	609293897864640729	5	552
3	609293897870166936	609293897870185008	5	553
4	609293897872148727	609293897872168563	5	554
5	609293897873832285	609293897873852517	5	555
6	609293897875823427	609293897875848222	5	556
7	609293897875660446	609293897875683540	5	557
0	609293897890843446	609293897890872417	5	558
7	609293901906323463	609293901906335967	5	559
2	609293897893220544	609293897893246239	5	560
3	609293897900321715	609293897900358381	5	561
4	609293897905055967	609293897905079889	5	562
5	609293897905103874	609293897905134159	5	563
6	609293897907177249	609293897907203493	5	564
7	609293897910829287	609293897910859257	5	565
0	609293897929670985	609293897929707129	5	566
3	609293901908280330	609293901908297118	5	567
2	609293897937615645	609293897937677736	5	568
3	609293897963811396	609293897963841078	5	569
4	609293897969966658	609293897970007248	5	570
5	609293897969077728	609293897969116428	5	571
6	609293897976223017	609293897976256686	5	572
7	609293897984035053	609293897984066013	5	573
0	609293898009414288	609293898009461997	5	574
2	609293901914051355	609293901914074950	5	575
2	609293898029226843	609293898029271672	5	576
3	609293898092974635	609293898093018600	5	577
4	609293898096255738	609293898096308964	5	578
5	609293898085199832	609293898085245669	5	579
6	609293898100612251	609293898100656873	5	580
7	609293898118270494	609293898118318617	5	581
0	609293898152019495	609293898152062200	5	582
5	609293901918217023	609293901918245469	5	583
2	609293898188577684	609293898188625861	5	584
3	609293898321618834	609293898321670188	5	585
4	609293898316947276	609293898317011077	5	586
5	609293898288220464	609293898288279630	5	587
6	609293898312873516	609293898312923376	5	588
7	609293898338783760	609293898338832675	5	589
0	609293898393794109	609293898393844050	5	590
6	609293901928772619	609293901928833072	5	591
2	609293898452652291	609293898452706165	5	592
3	609293898660951387	609293898661013901	5	593
4	609293898656921106	609293898656969319	5	594
5	609293898608090085	609293898608165910	5	595
6	609293898658025037	609293898658081062	5	596
7	609293898712806822	609293898712857123	5	597
0	609293898821793357	609293898821863080	5	598
7	609293901928352742	609293901928378761	5	599
2	609293898910390455	609293898910449207	5	600
3	609293899148298048	609293899148349708	5	601
4	609293899160714511	609293899160775360	5	602
5	609293899110837528	609293899110899277	5	603
6	609293899184018247	609293899184078979	5	604
7	609293899268689077	609293899268754291	5	605
0	609293899248416667	609293899248473484	5	606
0	609293901932965407	609293901932994933	5	607
2	609293899534501908	609293899534567545	5	608
3	609293899811356938	609293899811421351	5	609
4	609293899874553573	609293899874587737	5	610
5	609293899799497971	609293899799571780	5	611
6	609293899885096143	609293899885131141	5	612
7	609293899944199812	609293899944224391	5	613
0	609293899618464753	609293899618532784	5	614
6	609293901960081273	609293901960119508	5	615
2	609293900118723447	609293900118753702	5	616
3	609293900272807083	609293900272840200	5	617
4	609293900326807551	609293900326845219	5	618
5	609293900345290797	609293900345332260	5	619
6	609293900414687010	609293900414725428	5	620
7	609293900441945730	609293900441982387	5	621
0	609293899960315935	609293899960340559	5	622
1	609293901939989820	609293901940011012	5	623
2	609293900686141089	609293900686178328	5	624
0	609293900707738614	609293900707768587	5	625
4	609293900933881410	609293900933917332	5	626
0	609293900441630430	609293900441662308	5	627
0	609293901069792750	609293901069828600	5	628
5	609293901035146272	609293901035189316	5	629
0	609293900172695802	609293900172721890	5	630
3	609293901962790021	609293901962828037	5	631
6	609293901121096584	609293901121145124	5	632
1	609293897849523699	609293897849539494	5	633
2	609293897851865814	609293897851880664	5	634
3	609293897852287743	609293897852302062	5	635
4	609293897850702267	609293897850716874	5	636
5	609293897849632959	609293897849649051	5	637
6	609293897852811372	609293897852826564	5	638
7	609293897849726028	609293897849743398	5	639
0	609293897874364896	609293897874378081	5	640
2	609293901904433829	609293901904445514	5	641
2	609293897864671482	609293897864690481	5	642
3	609293897870211918	609293897870227290	5	643
4	609293897871790968	609293897871810498	5	644
5	609293897873445789	609293897873466723	5	645
6	609293897875481958	609293897875507338	5	646
7	609293897875299771	609293897875321479	5	647
0	609293897890474266	609293897890503021	5	648
7	609293901906118764	609293901906134748	5	649
2	609293897892787266	609293897892811413	5	650
3	609293897899802298	609293897899833132	5	651
4	609293897904885498	609293897904915756	5	652
5	609293897904949875	609293897904987540	5	653
6	609293897907055884	609293897907079941	5	654
7	609293897910693306	609293897910727749	5	655
0	609293897929523592	609293897929562148	5	656
3	609293901908262072	609293901908278497	5	657
2	609293897937462528	609293897937496827	5	658
3	609293897963632926	609293897963675280	5	659
4	609293897970068736	609293897970098409	5	660
5	609293897969177007	609293897969217327	5	661
6	609293897976300093	609293897976338253	5	662
7	609293897984109546	609293897984153610	5	663
0	609293898009506340	609293898009552141	5	664
2	609293901914030751	609293901914048214	5	665
2	609293898029319957	609293898029364066	5	666
3	609293898093079494	609293898093120894	5	667
4	609293898096312006	609293898096353379	5	668
5	609293898085250340	609293898085300920	5	669
6	609293898100659510	609293898100718991	5	670
7	609293898118326582	609293898118367046	5	671
0	609293898152065485	609293898152126856	5	672
5	609293901918183606	609293901918213162	5	673
2	609293898188628642	609293898188681436	5	674
3	609293898321679764	609293898321739497	5	675
4	609293898317015235	609293898317073375	5	676
5	609293898288282663	609293898288339255	5	677
6	609293898312930261	609293898312985845	5	678
7	609293898338837949	609293898338887431	5	679
0	609293898393849198	609293898393899364	5	680
4	609293901929053146	609293901929080659	5	681
2	609293898452709693	609293898452769741	5	682
3	609293898661017987	609293898661064220	5	683
4	609293898657137619	609293898657185733	5	684
5	609293898608367708	609293898608428701	5	685
6	609293898658273518	609293898658325709	5	686
7	609293898713064231	609293898713123910	5	687
0	609293898822060774	609293898822123819	5	688
7	609293901928312353	609293901928343256	5	689
2	609293898910666566	609293898910718685	5	690
3	609293899148548725	609293899148603220	5	691
4	609293899161408906	609293899161469125	5	692
5	609293899111529331	609293899111584429	5	693
6	609293899184701797	609293899184765571	5	694
7	609293899269378018	609293899269444195	5	695
0	609293899249014249	609293899249072614	5	696
0	609293901932941062	609293901932964093	5	697
